property_types,prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios
Alojamiento entero,150.0,4.94,0.0,0.0,3.0,4.0,2.0,4.0,900.0,660.0,9.0,0,2,2,0,5,4,1,0,2,1,0,1,2
Habitación,50.0,0.0,0.0,0.0,,1.0,0.5,3.0,720.0,600.0,12.0,1,0,0,0,4,3,0,1,1,0,1,0,3
Habitación,127.0,4.73,281.0,0.0,1.0,4.0,1.0,4.0,900.0,660.0,9.0,1,6,2,2,1,8,2,1,1,0,0,4,3
Habitación,49.0,4.5,22.0,20.0,,2.0,1.0,4.0,960.0,720.0,8.0,0,5,1,1,9,4,1,0,1,0,2,0,0
Alojamiento entero,112.0,4.88,0.0,65.0,1.0,2.0,1.0,3.0,,660.0,,1,5,2,4,13,9,2,0,1,5,0,2,1
Alojamiento entero,114.0,4.3,296.0,0.0,,1.0,1.0,2.0,900.0,660.0,9.0,1,2,2,0,10,4,1,1,1,1,0,0,1
Alojamiento entero,139.0,5.0,4.0,0.0,1.0,1.0,1.0,3.0,900.0,720.0,9.0,0,1,0,0,1,1,1,0,1,0,0,0,0
Alojamiento entero,115.0,0.0,2.0,105.0,4.0,4.0,2.0,6.0,1020.0,660.0,7.0,0,3,0,0,7,5,1,0,1,2,0,2,1
Habitación,80.0,0.0,0.0,0.0,,3.0,0.5,4.0,900.0,660.0,9.0,0,0,1,0,1,2,0,0,1,0,1,0,1
Alojamiento entero,99.0,4.41,437.0,0.0,,2.0,1.0,2.0,900.0,660.0,9.0,1,3,2,0,7,4,1,1,1,0,0,1,1
Habitación,60.0,4.47,286.0,0.0,1.0,2.0,1.0,2.0,840.0,660.0,10.0,1,3,3,0,7,8,1,0,1,1,0,3,5
Habitación,108.0,4.67,480.0,0.0,1.0,2.0,1.0,2.0,900.0,660.0,9.0,1,5,2,3,1,8,1,1,2,0,0,4,3
Alojamiento entero,108.0,4.75,357.0,80.0,3.0,3.0,1.0,4.0,,720.0,,3,3,2,1,13,7,1,1,2,4,0,2,3
Alojamiento entero,135.0,4.83,370.0,75.0,2.0,3.0,1.0,4.0,900.0,660.0,9.0,2,4,2,0,9,8,1,2,2,3,0,1,1
Habitación,48.0,0.0,0.0,15.0,,2.0,0.5,2.0,840.0,600.0,10.0,0,5,0,0,9,3,1,0,2,0,4,0,1
Habitación,70.0,4.67,9.0,10.0,,1.0,1.0,2.0,900.0,660.0,9.0,0,6,4,0,11,9,2,0,2,0,5,0,2
Habitación,40.0,4.57,46.0,0.0,,1.0,0.5,1.0,840.0,660.0,10.0,1,2,2,1,6,2,0,0,2,0,1,0,0
Habitación,99.0,4.79,414.0,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,2,3,2,1,5,4,1,0,1,1,0,2,4
Habitación,36.0,4.54,78.0,0.0,,1.0,0.5,1.0,780.0,660.0,11.0,0,4,2,0,2,0,0,0,2,0,1,0,0
Habitación,55.0,4.74,70.0,,,1.0,0.5,2.0,900.0,660.0,9.0,3,3,2,1,12,8,1,0,1,0,2,0,3
Alojamiento entero,110.0,4.5,40.0,60.0,1.0,2.0,1.0,3.0,840.0,660.0,10.0,0,1,2,0,3,5,1,0,1,0,0,0,0
Alojamiento entero,110.0,4.6,50.0,60.0,1.0,3.0,1.0,3.0,840.0,660.0,10.0,0,2,2,1,3,4,1,1,1,0,0,0,0
