prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
76.0,4.73,491.0,0.0,1.0,2.0,1.0,2.0,840.0,660.0,10.0,1.0,5.0,2.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
36.0,4.62,101.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,5.0,2.0,1.0,10.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
42.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
36.0,4.41,116.0,0.0,1.0,1.0,0.5,1.0,960.0,780.0,8.0,0.0,7.0,2.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
116.0,0.0,2.0,95.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,0.0,5.0,2.0,0.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,4.86,0.0,10.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
79.0,4.72,174.0,35.0,1.0,2.0,1.0,2.0,960.0,600.0,8.0,1.0,3.0,2.0,0.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
45.0,4.66,47.0,20.0,1.0,1.0,0.5,2.0,840.0,660.0,10.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0
50.0,4.91,0.0,10.0,1.0,1.0,0.5,2.0,960.0,720.0,8.0,0.0,6.0,1.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0
276.0,0.0,0.0,170.0,2.0,3.0,1.0,4.0,900.0,660.0,9.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0
67.0,4.9,0.0,0.0,1.0,2.0,0.5,2.0,780.0,660.0,11.0,3.0,3.0,3.0,3.0,19.0,8.0,5.0,5.0,2.0,2.0,5.0,0.0,7.0,1.0,0.0
52.0,4.76,283.0,0.0,1.0,1.0,1.0,1.0,840.0,660.0,10.0,1.0,4.0,2.0,1.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
50.0,4.33,12.0,14.0,1.0,1.0,0.5,2.0,840.0,720.0,10.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0
170.0,4.8,1386.0,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,1.0,2.0,2.0,0.0,7.0,5.0,1.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0
49.0,0.0,0.0,40.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
61.0,5.0,0.0,20.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0
